18,203
26,205
14,200
29,212
15,197
33,209
25,209
19,196
31,204
21,201
560,335
227,83
218,117
518,64
524,51
582,68
300,218
537,82
569,293
604,276
461,377
186,224
328,97
314,243
531,56
212,464
536,58
383,80
526,57
541,287
384,168
559,190
539,78
325,93
433,147
437,298
319,242
556,110
136,134
360,59
286,40
577,94
541,16
490,147
457,85
527,70
436,144
563,367
488,422
470,109
549,383
539,3
330,428
564,394
354,235
542,52
464,212
428,145
169,419
307,70
540,93
575,235
260,320
321,97
459,401
376,81
531,221
324,179
469,113
325,174
578,236
368,61
581,235
342,98
375,178
527,140
640,101
371,11
549,262
601,22
452,90
525,62
459,74
541,23
494,441
450,46
372,92
531,40
156,417
605,283
463,75
540,11
560,363
436,274
315,75
600,276
599,291
488,135
132,423
534,227
543,158
477,106
541,188
563,292
545,388
554,20
554,194
545,299
445,276
568,383
509,441
523,205
170,423
536,359
375,100
543,206
548,52
202,65
491,128
627,88
205,166
541,38
563,385
540,134
576,359
442,305
554,200
328,181
476,416
541,61
364,67
208,157
539,117
366,8
447,48
546,370
528,83
544,209
352,55
496,139
548,375
541,184
93,448
317,80
284,91
389,75
495,288
349,70
491,382
556,361
65,118
553,28
377,228
579,348
362,64
563,329
514,367
550,237
211,152
458,27
542,32
160,416
560,292
483,101
489,80
547,378
517,347
541,169
505,114
146,29
529,191
287,46
384,186
291,167
548,362
534,174
536,38
555,54
494,410
580,309
380,86
497,378
279,48
289,93
563,179
541,357
378,173
463,396
408,11
414,41
561,20
510,105
533,188
382,235
497,292
357,64
583,188
384,235
307,83
328,432
473,443
639,2
510,193
548,41
236,102
413,92
325,73
538,124
541,176
522,342
246,44
609,27
553,320
542,222
619,162
205,153
488,442
382,175
560,184
357,68
